TimeStamp,RunIndex,TestType,Mode,TotalRecords,RecordsPerTx,DurationSeconds
2025-12-11 16:13:44,1,Performance,WAL,10000,100,0.359
2025-12-11 16:13:44,1,Performance,MEMORY,10000,100,0.258
2025-12-11 16:13:45,2,Performance,WAL,10000,100,0.363
2025-12-11 16:13:45,2,Performance,MEMORY,10000,100,0.244
