TimeStamp,RunIndex,TestType,Mode,TotalRecords,RecordsPerTx,DurationSeconds
2025-12-11 16:14:02,1,Concurrency,Baseline,10000,100,0.382
2025-12-11 16:14:02,1,Concurrency,Concurrent,10000,100,0.291
